transaction_id,merchant_id,customer_id,amount,transaction_date,status,payment_method
txn_3036,m_003,c_093,128.83,2024-01-15 22:24:11,completed,wallet
txn_3037,m_014,c_123,288.53,2024-01-15 21:10:04,completed,bank_transfer
txn_3038,m_009,c_062,498.61,2024-01-15 10:50:31,completed,card
txn_3039,m_002,c_086,329.32,2024-01-15 17:17:40,completed,wallet
txn_3040,m_001,c_150,162.95,2024-01-15 18:58:03,completed,card
txn_3041,m_007,c_010,28.64,2024-01-15 09:10:53,completed,wallet
txn_3042,m_008,c_015,349.29,2024-01-15 03:31:10,completed,card
txn_3043,m_005,c_071,330.13,2024-01-15 17:11:44,completed,card
txn_3044,m_006,c_168,480.18,2024-01-15 21:07:46,completed,wallet
txn_3045,m_003,c_036,79.35,2024-01-15 20:24:10,completed,wallet
txn_3046,m_006,c_184,119.62,2024-01-15 05:21:49,completed,wallet
txn_3047,m_001,c_088,405.67,2024-01-15 05:47:07,completed,bank_transfer
txn_3048,m_003,c_128,323.24,2024-01-15 07:24:58,completed,card
txn_3049,m_011,c_025,392.47,2024-01-15 14:46:50,refunded,wallet
txn_3050,m_010,c_021,438.84,2024-01-15 14:23:16,completed,card
txn_3051,m_006,c_151,27.57,2024-01-15 05:08:00,completed,bank_transfer
txn_3052,m_015,c_074,405.79,2024-01-15 15:27:51,completed,card
txn_3053,m_002,c_011,180.10,2024-01-15 10:42:20,completed,bank_transfer
txn_3054,m_013,c_009,191.44,2024-01-15 17:09:44,completed,card
txn_3055,m_011,c_005,383.03,2024-01-15 12:26:32,failed,wallet
txn_3056,m_012,c_199,117.78,2024-01-15 06:15:41,completed,card
txn_3057,m_005,c_042,422.56,2024-01-15 18:01:53,completed,card
txn_3058,m_004,c_034,450.78,2024-01-15 01:56:16,completed,bank_transfer
txn_3059,m_003,c_149,383.28,2024-01-15 01:32:25,completed,wallet
txn_3060,m_015,c_115,41.64,2024-01-15 13:08:30,completed,bank_transfer
txn_3061,m_015,c_157,50.04,2024-01-15 23:36:31,completed,card
txn_3062,m_004,c_184,428.09,2024-01-15 05:08:30,completed,card
txn_3063,m_012,c_064,90.33,2024-01-15 20:33:43,completed,card
txn_3064,m_013,c_130,458.95,2024-01-15 07:15:33,failed,card
txn_3065,m_004,c_176,353.97,2024-01-15 02:15:16,completed,wallet
txn_3066,m_006,c_197,284.47,2024-01-15 20:01:02,completed,card
txn_3067,m_007,c_016,161.02,2024-01-15 09:11:17,failed,wallet
txn_3068,m_015,c_172,131.18,2024-01-15 06:46:23,completed,bank_transfer
txn_3069,m_002,c_041,175.56,2024-01-15 16:16:12,completed,bank_transfer
txn_3070,m_008,c_015,472.06,2024-01-15 04:38:05,completed,card
txn_3071,m_014,c_098,13.94,2024-01-15 07:34:09,failed,bank_transfer
txn_3072,m_013,c_019,15.66,2024-01-15 10:39:16,completed,card
txn_3073,m_013,c_019,324.28,2024-01-15 13:05:44,completed,wallet
txn_3074,m_014,c_187,188.03,2024-01-15 17:57:41,completed,bank_transfer
txn_3075,m_005,c_084,357.48,2024-01-15 16:15:04,pending,bank_transfer
txn_3076,m_015,c_009,113.75,2024-01-15 08:56:19,completed,card
txn_3077,m_010,c_160,125.34,2024-01-15 16:01:38,completed,bank_transfer
txn_3078,m_012,c_068,43.43,2024-01-15 00:18:31,completed,wallet
txn_3079,m_013,c_181,223.57,2024-01-15 16:15:38,pending,bank_transfer
txn_3080,m_012,c_137,461.68,2024-01-15 12:49:13,failed,bank_transfer
txn_3081,m_002,c_152,463.01,2024-01-15 10:38:05,completed,bank_transfer
txn_3082,m_012,c_006,28.54,2024-01-15 13:12:27,completed,card
txn_3083,m_015,c_170,330.55,2024-01-15 03:51:20,completed,card
txn_3084,m_004,c_053,335.54,2024-01-15 13:53:56,refunded,card
txn_3085,m_005,c_047,419.76,2024-01-15 09:11:45,pending,wallet
txn_3086,m_007,c_027,158.33,2024-01-15 12:40:06,completed,bank_transfer
txn_3087,m_002,c_069,474.56,2024-01-15 05:48:17,completed,wallet
txn_3088,m_012,c_032,22.39,2024-01-15 08:30:25,completed,card
txn_3089,m_003,c_075,300.88,2024-01-15 09:53:28,completed,wallet
txn_3090,m_005,c_129,130.21,2024-01-15 04:12:21,completed,bank_transfer
txn_3091,m_009,c_033,401.98,2024-01-15 19:33:04,completed,bank_transfer
txn_3092,m_004,c_143,220.34,2024-01-15 10:46:50,completed,card
txn_3093,m_012,c_103,292.46,2024-01-15 02:27:29,completed,bank_transfer
txn_3094,m_002,c_022,7.37,2024-01-15 07:19:12,failed,card
txn_3095,m_002,c_038,367.04,2024-01-15 17:43:41,pending,card
txn_3096,m_004,c_023,310.13,2024-01-15 09:25:21,completed,card
txn_3097,m_009,c_011,224.29,2024-01-15 17:39:22,refunded,bank_transfer
txn_3098,m_004,c_090,69.71,2024-01-15 17:43:58,pending,wallet
txn_3099,m_004,c_054,406.43,2024-01-15 13:45:30,completed,wallet
txn_3100,m_003,c_155,177.04,2024-01-15 17:19:01,completed,wallet
